iter	Passed	Remaining
928	2324	177
929	2326	175
930	2329	172
931	2331	170
932	2333	167
933	2335	165
934	2338	162
935	2341	160
936	2343	157
937	2346	155
938	2348	152
939	2350	150
940	2353	147
941	2356	145
942	2359	142
943	2362	140
944	2364	137
945	2366	135
946	2369	132
947	2380	130
948	2382	128
949	2385	125
950	2388	123
951	2390	120
952	2393	118
953	2395	115
954	2398	113
955	2400	110
956	2403	107
957	2405	105
958	2407	102
959	2410	100
960	2412	97
961	2414	95
962	2417	92
963	2419	90
964	2422	87
965	2424	85
966	2426	82
967	2429	80
968	2431	77
969	2434	75
970	2436	72
971	2439	70
972	2441	67
973	2443	65
974	2446	62
975	2448	60
976	2450	57
977	2453	55
978	2455	52
979	2457	50
980	2460	47
981	2462	45
982	2464	42
983	2467	40
984	2469	37
985	2472	35
986	2474	32
987	2476	30
988	2478	27
989	2481	25
990	2483	22
991	2485	20
992	2487	17
993	2490	15
994	2492	12
995	2494	10
996	2496	7
997	2498	5
998	2501	2
999	2503	0
