iter	MultiClass
0	1.740646506
1	1.682672278
2	1.638336185
3	1.590455402
4	1.544270426
5	1.501544458
6	1.465258753
7	1.427943345
8	1.387458976
9	1.353408241
10	1.320479083
11	1.291205344
12	1.270464135
13	1.2433651
14	1.22244399
15	1.198597849
16	1.175429592
17	1.155008558
18	1.131575558
19	1.109876491
20	1.088619298
21	1.069414344
22	1.051455826
23	1.035204363
24	1.015479557
25	0.9956416772
26	0.9789098489
27	0.9623799883
28	0.9448444933
29	0.9325920535
30	0.9197526674
31	0.9029919756
32	0.8895322264
33	0.8759300668
34	0.8587807839
35	0.8462076528
36	0.8351684946
37	0.8238201937
38	0.8114156698
39	0.797792511
40	0.7852082302
41	0.7728197288
42	0.7611745671
43	0.7523339282
44	0.7427006087
45	0.734808723
46	0.7230598053
47	0.7127431935
48	0.7050912169
49	0.6940779118
50	0.6823487102
51	0.6754852477
52	0.6669265375
53	0.6625334128
54	0.6537060257
55	0.6441162223
56	0.6377656003
57	0.6292602212
58	0.6235111281
59	0.6156023696
60	0.6076374417
61	0.6000472621
62	0.5924060169
63	0.5839803138
64	0.5765677549
65	0.5697990171
66	0.5626805256
67	0.5558862474
68	0.5507163116
69	0.5443957074
70	0.5373883084
71	0.5320335262
72	0.5274064685
73	0.5215051584
74	0.5151294616
75	0.5095430887
76	0.5033759235
77	0.4961867416
78	0.4914479897
79	0.4867071899
80	0.4798675258
81	0.474436743
82	0.4684409712
83	0.4624357534
84	0.457564161
85	0.4517279157
86	0.4468445465
87	0.4420697867
88	0.43767471
89	0.4323018627
90	0.4276060924
91	0.4233134267
92	0.4185685844
93	0.4138232258
94	0.4090022099
95	0.4041079582
96	0.3992633938
97	0.3945805687
98	0.3899542226
99	0.3851649894
100	0.3815606198
101	0.3765416807
102	0.371619305
103	0.3671355233
104	0.3626839317
105	0.3591234633
106	0.3559243954
107	0.3530643675
108	0.3490370915
109	0.3452450904
110	0.3416856681
111	0.338908215
112	0.3358117431
113	0.3326067297
114	0.3291914329
115	0.3255932313
116	0.322272518
117	0.3185649496
118	0.315729762
119	0.3126903389
120	0.3100077571
121	0.3065730917
122	0.3036325182
123	0.3008464653
124	0.2979251566
125	0.2944956757
126	0.2915610166
127	0.2891059855
128	0.2859310621
129	0.282916513
130	0.2802874702
131	0.2779571361
132	0.2751455663
133	0.2720166866
134	0.2695088673
135	0.2676783495
136	0.2653823568
137	0.2630618238
138	0.2610413545
139	0.2589732276
140	0.2570999804
141	0.2549344609
142	0.2529659852
143	0.250595071
144	0.2482361966
145	0.2455236923
146	0.2429092423
147	0.2405384248
148	0.2379810274
149	0.2358946161
150	0.2341517334
151	0.2322837813
152	0.2303185909
153	0.2287682268
154	0.2275640894
155	0.225849773
156	0.2237711321
157	0.2222564595
158	0.2206283057
159	0.2184400182
160	0.2165032429
161	0.2153402234
162	0.2136086884
163	0.2119341386
164	0.2103252462
165	0.2087189494
166	0.2071739109
167	0.2056241916
168	0.2040993613
169	0.202848941
170	0.2008602444
171	0.1994552668
172	0.1979348876
173	0.1968440919
174	0.1952175898
175	0.1940361915
176	0.1926266706
177	0.1911025719
178	0.1898220873
179	0.1883839636
180	0.1866912697
181	0.1850801451
182	0.183721895
183	0.1825056971
184	0.1813321066
185	0.1800125194
186	0.1787568604
187	0.1778407369
188	0.1768966887
189	0.1755490032
190	0.1745862368
191	0.1735126131
192	0.172363714
193	0.1713997754
194	0.1704585769
195	0.1692307043
196	0.1678345518
197	0.1670310076
198	0.1663804215
199	0.1651785281
200	0.1640231898
201	0.1629399596
202	0.1619618024
203	0.1608680337
204	0.1599630038
205	0.1588496325
206	0.1578433459
207	0.1570582419
208	0.1559352144
209	0.1550346941
210	0.1541510243
211	0.1531546644
212	0.1522111749
213	0.1510093452
214	0.1503094231
215	0.1495006381
216	0.1489045533
217	0.1481790995
218	0.1472475087
219	0.1464283674
220	0.1456146808
221	0.1448232628
222	0.1440546329
223	0.1433831099
224	0.1423325585
225	0.1413919617
226	0.1406739916
227	0.1399610184
228	0.13953843
229	0.1386452127
230	0.1377385823
231	0.1369807667
232	0.1362465299
233	0.1354529262
234	0.1345663246
235	0.133884261
236	0.1330882844
237	0.1324339801
238	0.1316809652
239	0.1308004487
240	0.1300515739
241	0.1294502824
242	0.1290285606
243	0.1281215783
244	0.1274836316
245	0.1267491148
246	0.1261021053
247	0.125394256
248	0.1245608569
249	0.1238639466
250	0.1231849827
251	0.122512719
252	0.1217640314
253	0.1212498289
254	0.1205934279
255	0.1201636797
256	0.1195106189
257	0.118927733
258	0.1183821615
259	0.1177211696
260	0.1171180491
261	0.1166952555
262	0.1161628948
263	0.1155901442
264	0.1148798557
265	0.1143809781
266	0.1137901441
267	0.1132368004
268	0.1127314327
269	0.1122772579
270	0.1117609882
271	0.1111968428
272	0.1105730693
273	0.1100102008
274	0.1094650335
275	0.1088496208
276	0.1082865345
277	0.107657194
278	0.107009467
279	0.1065889083
280	0.1060805549
281	0.1057014269
282	0.1053599562
283	0.1048705175
284	0.1042965545
285	0.1035771891
286	0.1031312519
287	0.1027832912
288	0.1024101348
289	0.1020018466
290	0.1013972308
291	0.1010744852
292	0.1006093712
293	0.1001464336
294	0.09974422155
295	0.09930094443
296	0.09886485692
297	0.09838629511
298	0.09808549461
299	0.09779128711
300	0.09728619577
301	0.09681209896
302	0.09640813148
303	0.09608998841
304	0.09571178483
305	0.09527423469
306	0.09477340544
307	0.09442827979
308	0.0940004027
309	0.09365470519
310	0.09332410906
311	0.09295100677
312	0.09251174106
313	0.09210119348
314	0.09174234872
315	0.09128923589
316	0.09086201747
317	0.09048936568
318	0.09002572832
319	0.08963622376
320	0.08921567743
321	0.08883013049
322	0.08835571682
323	0.08812521709
324	0.08770474528
325	0.08740786639
326	0.08703495967
327	0.08671000585
328	0.08623595112
329	0.08582775053
330	0.08536048144
331	0.08512972515
332	0.0848084027
333	0.08429650888
334	0.08400954441
335	0.08360073181
336	0.08330962944
337	0.0829461463
338	0.08262287721
339	0.08226904
340	0.081954908
341	0.08161932851
342	0.0812329094
343	0.08096852406
344	0.08070937965
345	0.08044055785
346	0.08013136197
347	0.07980281212
348	0.07948346626
349	0.07919572158
350	0.0789899416
351	0.07867161538
352	0.07841319289
353	0.07808808741
354	0.07786021451
355	0.07757947082
356	0.07735014425
357	0.07704246647
358	0.07684882965
359	0.07660730849
360	0.07630432909
361	0.0759893689
362	0.07560208454
363	0.07538233237
364	0.07501796518
365	0.07476013145
366	0.07444790765
367	0.07418509267
368	0.07399466736
369	0.07374414023
370	0.07344787782
371	0.07321752129
372	0.07294689811
373	0.07275788346
374	0.07241265768
375	0.07224640451
376	0.07196113657
377	0.07168956761
378	0.07142411716
379	0.07117188809
380	0.07100651349
381	0.07071366678
382	0.0703946
383	0.07011711821
384	0.06989415532
385	0.06966676302
386	0.06939999563
387	0.06914052477
388	0.06892639028
389	0.06862422941
390	0.06836067752
391	0.06814867575
392	0.0679638846
393	0.0677836876
394	0.06751606586
395	0.06721428988
396	0.06696218385
397	0.06669501903
398	0.06647283187
399	0.06630257942
400	0.0661163987
401	0.06592306567
402	0.06569968416
403	0.06545361919
404	0.06525069526
405	0.06503374581
406	0.06482823214
407	0.06465299829
408	0.06449635697
409	0.06426501105
410	0.06405686618
411	0.06381686516
412	0.06358254623
413	0.06344898554
414	0.06325686854
415	0.06310629323
416	0.06288430738
417	0.06266017775
418	0.06247683413
419	0.06225013263
420	0.0620231506
421	0.06180383231
422	0.0616107237
423	0.06139311135
424	0.06120139642
425	0.0610146728
426	0.06088219851
427	0.06074004852
428	0.06051113972
429	0.06033622184
430	0.06016208551
431	0.05999805423
432	0.05983619584
433	0.05972368182
434	0.0595477592
435	0.05942867952
436	0.05928249904
437	0.05906201779
438	0.05886406432
439	0.05867921641
440	0.05845503006
441	0.05829186521
442	0.05810968769
443	0.05793443269
444	0.05778480456
445	0.0575901839
446	0.05747553466
447	0.05729965597
448	0.05708058738
449	0.05685784143
450	0.0566817094
451	0.05650678289
452	0.05637619426
453	0.05615288057
454	0.05600045542
455	0.05584584501
456	0.05570306205
457	0.05556530788
458	0.05542498129
459	0.05526945084
460	0.05509609124
461	0.05492224838
462	0.05476506613
463	0.05455160171
464	0.05445933604
465	0.0543284492
466	0.05414912392
467	0.05401216731
468	0.05390793271
469	0.05377139322
470	0.05357215653
471	0.05332172506
472	0.05318204938
473	0.0530270143
474	0.05283261072
475	0.05270853001
476	0.05255755659
